DATE;HOME;AWAY;FTHG;FTAG;DIFF
31/05/2025;LAFC us;mx América;2;1;1
15/06/2025;Paris S-G fr;es Atlético Madrid;4;0;4
15/06/2025;Bayern Munich de;nz Auckland City;10;0 ;10
15/06/2025;Palmeiras br;pt Porto;0;0;0
14/06/2025;Al Ahly eg;us Inter Miami;0;0;0
16/06/2025;Chelsea eng;us LAFC;2;0;2
16/06/2025;Boca Juniors ar;pt Benfica;2;2;0
15/06/2025;Botafogo (RJ) br;us Seattle Sounders;2;1;1
17/06/2025;River Plate ar;jp Urawa Reds;3;1;2
17/06/2025;Fluminense br;de Dortmund;0;0;0
17/06/2025;Ulsan HD kr;za Sundowns;0;1;-1
16/06/2025;Flamengo br;tn Espérance Tunis;2;0;2
18/06/2025;Manchester City eng;ma Wydad AC;2;0;2
18/06/2025;Real Madrid es;sa Al-Hilal;1;1;0
17/06/2025;Monterrey mx;it Inter;1;1;0
18/06/2025;Pachuca mx;at RB Salzburg;1;2;-1
19/06/2025;Palmeiras br;eg Al Ahly;2;0;2
19/06/2025;Inter Miami us;pt Porto;2;1;1
19/06/2025;Seattle Sounders us;es Atlético Madrid;1;3;-2
18/06/2025;Al Ain FC ae;it Juventus;0;5;-5
20/06/2025;Benfica pt;nz Auckland City;6;0;6
20/06/2025;Flamengo br;eng Chelsea;3;1;2
20/06/2025;LAFC us;tn Espérance Tunis;0;1;-1
19/06/2025;Paris S-G fr;br Botafogo (RJ);0;1;-1
21/06/2025;Inter it;jp Urawa Reds;2;1;1
21/06/2025;Sundowns za;de Dortmund;3;4;-1
21/06/2025;Fluminense br;kr Ulsan HD;4;2;2
20/06/2025;Bayern Munich de;ar Boca Juniors;2;1;1
22/06/2025;Juventus it;ma Wydad AC;4;1;3
22/06/2025;Real Madrid es;mx Pachuca;3;1;2
21/06/2025;River Plate ar;mx Monterrey;0;0;0
22/06/2025;RB Salzburg at;sa Al-Hilal;0;0;0
23/06/2025;Atlético Madrid es;br Botafogo (RJ);1;0;1
23/06/2025;Seattle Sounders us;fr Paris S-G;0;2;-2
22/06/2025;Manchester City eng;ae Al Ain FC;6;0;6
24/06/2025;Auckland City nz;ar Boca Juniors;1;1;0
24/06/2025;Benfica pt;de Bayern Munich;1;0;1
23/06/2025;Inter Miami us;br Palmeiras;2;2;0
23/06/2025;Porto pt;eg Al Ahly;4;4;0
25/06/2025;Dortmund de;kr Ulsan HD;1;0;1
25/06/2025;Sundowns za;br Fluminense;0;0;0
24/06/2025;Espérance Tunis tn;eng Chelsea;0;3;-3
24/06/2025;LAFC us;br Flamengo;1;1;0
26/06/2025;Wydad AC ma;ae Al Ain FC;1;2;-1
26/06/2025;Juventus it;eng Manchester City;2;5;-3
25/06/2025;Urawa Reds jp;mx Monterrey;0;4;-4
25/06/2025;Inter it;ar River Plate;2;0;2
26/06/2025;Al-Hilal sa;mx Pachuca;2;0;2
26/06/2025;RB Salzburg at;es Real Madrid;0;3;-3
28/06/2025;Palmeiras br;br Botafogo (RJ);1;0;1
28/06/2025;Benfica pt;eng Chelsea;1;4;-3
29/06/2025;Paris S-G fr;us Inter Miami;4;0;4
29/06/2025;Flamengo br;de Bayern Munich;2;4;-2
30/06/2025;Inter it;br Fluminense;0;2;-2
01/07/2025;Real Madrid es;it Juventus;1;0;1
30/06/2025;Manchester City eng;sa Al-Hilal;3;4;-1
01/07/2025;Dortmund de;mx Monterrey;2;1;1
04/07/2025;Palmeiras br;eng Chelsea;1;2;-1
